code,name,source,segment,layer,start_date,end_date,last_close,entry_rule,exit_rule,n_trades,win_rate,total_return,max_drawdown,calmar,avg_return,avg_hold_days,bh_return,vs_bh,entry_signals,exit_signals
600845,宝信软件,ai_basket,云计算,下游,2024-07-30,2026-07-03,18.25,tian_ma_only,take_profit_or_trend_down,11,18.18,-16.33,-25.49,-0.64,-1.18,10.8,-41.33,25.0,11,11
300624,万兴科技,ai_basket,大模型/AI应用/AIGC,下游,2024-07-30,2026-07-03,50.61,tian_ma_only,take_profit_or_trend_down,9,44.44,111.17,-26.75,4.16,10.78,16.0,8.35,102.82,9,9
601138,工业富联,ai_basket,AI服务器,下游,2024-07-30,2026-07-03,64.72,tian_ma_only,take_profit_or_trend_down,9,44.44,11.99,-25.28,0.47,2.36,14.2,203.59,-191.6,9,9
600602,云赛智联,ai_basket,算力/IDC/算力租赁,下游,2024-07-30,2026-07-03,16.01,tian_ma_only,take_profit_or_trend_down,8,50.0,110.85,-26.11,4.24,13.34,16.6,55.56,55.29,8,8
002843,泰嘉股份,ai_basket,服务器电源,中游,2024-07-30,2026-07-03,23.53,tian_ma_only,take_profit_or_trend_down,8,50.0,31.97,-18.36,1.74,4.79,15.9,100.34,-68.37,8,8
300496,中科创达,ai_basket,AIPC/端侧AI,下游,2024-07-30,2026-07-03,62.7,tian_ma_only,take_profit_or_trend_down,8,37.5,29.56,-27.11,1.09,5.96,11.0,45.71,-16.15,8,8
002130,沃尔核材,ai_basket,高速铜缆/铜连接,中游,2024-07-30,2026-07-03,18.28,tian_ma_only,take_profit_or_trend_down,8,37.5,28.27,-36.4,0.78,5.8,12.9,8.78,19.49,8,8
603501,韦尔股份(豪威),ai_basket,算力芯片/GPU/CPU设计,上游,2024-07-30,2026-07-03,102.3,tian_ma_only,take_profit_or_trend_down,8,37.5,16.53,-27.65,0.6,0.95,14.1,2.4,14.13,9,8
002185,华天科技,ai_basket,先进封装/封测,上游,2024-07-16,2026-07-03,19.51,tian_ma_only,take_profit_or_trend_down,7,42.86,114.65,-21.95,5.22,14.47,20.7,120.44,-5.79,7,7
300418,昆仑万维,ai_basket,大模型/AI应用/AIGC,下游,2024-07-30,2026-07-03,42.66,tian_ma_only,take_profit_or_trend_down,7,57.14,78.1,-25.89,3.02,8.59,16.6,47.76,30.34,8,7
600588,用友网络,ai_basket,云计算,下游,2024-07-30,2026-07-03,9.31,tian_ma_only,take_profit_or_trend_down,7,42.86,90.38,-32.54,2.78,12.23,17.7,0.61,89.77,8,7
002156,通富微电,ai_basket,先进封装/封测,上游,2024-07-30,2026-07-03,64.8,tian_ma_only,take_profit_or_trend_down,7,71.43,42.69,-18.67,2.29,6.06,17.4,193.7,-151.01,7,7
002230,科大讯飞,ai_basket,大模型/AI应用/AIGC,下游,2024-07-30,2026-07-03,41.51,tian_ma_only,take_profit_or_trend_down,7,57.14,46.11,-20.43,2.26,6.44,17.1,7.11,39.0,7,7
300474,景嘉微,ai_basket,算力芯片/GPU/CPU设计,上游,2024-07-30,2026-07-03,57.23,tian_ma_only,take_profit_or_trend_down,7,28.57,-16.47,-26.38,-0.62,-2.52,12.4,-10.61,-5.86,8,7
600584,长电科技,ai_basket,先进封装/封测,上游,2024-07-30,2026-07-03,90.88,tian_ma_only,take_profit_or_trend_down,6,66.67,131.47,-15.69,8.38,18.57,18.8,178.77,-47.3,6,6
601360,三六零,ai_basket,大模型/AI应用/AIGC,下游,2024-07-30,2026-07-03,8.71,tian_ma_only,take_profit_or_trend_down,6,83.33,45.93,-19.66,2.34,7.04,18.3,25.06,20.87,7,6
002409,雅克科技,ai_basket,HBM,上游,2024-07-30,2026-07-03,199.5,tian_ma_only,take_profit_or_trend_down,6,33.33,20.78,-23.19,0.9,4.46,13.2,256.95,-236.17,6,6
603019,中科曙光,ai_basket,AI服务器,下游,2024-07-16,2026-07-03,92.68,tian_ma_only,take_profit_or_trend_down,6,50.0,17.16,-24.76,0.69,1.74,15.8,122.64,-105.48,7,6
300563,神宇股份,ai_basket,高速铜缆/铜连接,中游,2024-07-30,2026-07-03,27.8,tian_ma_only,take_profit_or_trend_down,6,33.33,20.38,-42.37,0.48,7.67,11.8,-31.27,51.65,6,6
300308,中际旭创,sample;ai_basket,光模块,中游,2024-07-30,2026-07-03,1116.0,tian_ma_only,take_profit_or_trend_down,6,33.33,15.82,-40.96,0.39,4.44,12.2,787.14,-771.32,6,6
000938,紫光股份(新华三),ai_basket,交换机/网络设备,中游,2024-07-30,2026-07-03,30.28,tian_ma_only,take_profit_or_trend_down,6,33.33,-2.03,-27.2,-0.07,0.24,14.7,36.57,-38.6,6,6
301191,菲菱科思,ai_basket,交换机/网络设备,中游,2024-07-30,2026-07-03,112.51,tian_ma_only,take_profit_or_trend_down,6,33.33,-10.71,-18.11,-0.59,-1.4,8.8,154.65,-165.36,6,6
603986,兆易创新,ai_basket,存储芯片,上游,2024-07-30,2026-07-03,677.77,tian_ma_only,take_profit_or_trend_down,5,60.0,99.87,-11.59,8.61,18.59,15.8,727.3,-627.43,5,5
603005,晶方科技,ai_basket,先进封装/封测,上游,2024-07-30,2026-07-03,43.38,tian_ma_only,take_profit_or_trend_down,5,60.0,76.75,-24.82,3.09,13.8,25.0,111.6,-34.85,5,5
300570,太辰光,ai_basket,CPO,中游,2024-07-30,2026-07-03,237.12,tian_ma_only,take_profit_or_trend_down,5,80.0,56.59,-22.72,2.49,10.18,16.2,689.61,-633.02,5,5
002281,光迅科技,ai_basket,光模块,中游,2024-07-30,2026-07-03,217.33,tian_ma_only,take_profit_or_trend_down,5,60.0,19.34,-20.08,0.96,4.6,15.6,568.86,-549.52,5,5
002272,川润股份,ai_basket,液冷/散热,中游,2024-07-30,2026-07-03,23.26,tian_ma_only,take_profit_or_trend_down,5,60.0,20.63,-33.04,0.62,4.86,20.0,388.4,-367.77,5,5
300475,香农芯创,ai_basket,HBM,上游,2024-07-30,2026-07-03,264.25,tian_ma_only,take_profit_or_trend_down,5,40.0,5.07,-25.15,0.2,2.05,13.4,874.58,-869.51,5,5
300913,兆龙互连,ai_basket,高速铜缆/铜连接,中游,2024-07-30,2026-07-03,41.49,tian_ma_only,take_profit_or_trend_down,5,40.0,0.03,-14.6,0.0,0.77,13.2,67.73,-67.7,5,5
002371,北方华创,ai_basket,半导体设备,上游,2024-07-30,2026-07-03,816.0,tian_ma_only,take_profit_or_trend_down,5,20.0,-0.22,-24.87,-0.01,0.85,7.4,229.61,-229.83,5,5
002179,中航光电,ai_basket,连接器,中游,2024-07-30,2026-07-03,42.35,tian_ma_only,take_profit_or_trend_down,5,40.0,-6.65,-14.71,-0.45,-0.93,13.0,13.73,-20.38,5,5
300846,首都在线,ai_basket,算力/IDC/算力租赁,下游,2024-07-30,2026-07-03,20.54,tian_ma_only,take_profit_or_trend_down,5,20.0,-13.07,-28.47,-0.46,-2.13,11.8,120.13,-133.2,5,5
300442,润泽科技,ai_basket,算力/IDC/算力租赁,下游,2024-07-22,2026-07-03,85.44,tian_ma_only,take_profit_or_trend_down,5,40.0,-15.91,-23.48,-0.68,-2.96,16.0,295.24,-311.15,5,5
300383,光环新网,ai_basket,算力/IDC/算力租赁,下游,2024-07-30,2026-07-03,13.0,tian_ma_only,take_profit_or_trend_down,5,20.0,-18.45,-25.35,-0.73,-4.09,12.2,65.98,-84.43,6,5
300223,北京君正,ai_basket,存储芯片,上游,2024-07-30,2026-07-03,259.56,tian_ma_only,take_profit_or_trend_down,4,100.0,103.59,-18.88,5.49,20.55,23.0,380.32,-276.73,4,4
002916,深南电路,sample;ai_basket,PCB,中游,2024-07-30,2026-07-03,454.48,tian_ma_only,take_profit_or_trend_down,4,75.0,50.61,-9.97,5.08,12.24,15.8,459.92,-409.31,4,4
300757,罗博特科,ai_basket,CPO,中游,2024-07-30,2026-07-03,512.73,tian_ma_only,take_profit_or_trend_down,4,25.0,105.26,-33.53,3.14,35.11,18.2,432.93,-327.67,4,4
000034,神州数码,ai_basket,AI服务器,下游,2024-07-30,2026-07-03,27.97,tian_ma_only,take_profit_or_trend_down,4,100.0,37.43,-13.41,2.79,7.15,24.5,74.45,-37.02,5,4
002837,英维克,ai_basket,液冷/散热,中游,2024-07-30,2026-07-03,71.43,tian_ma_only,take_profit_or_trend_down,4,50.0,38.42,-21.5,1.79,10.75,17.5,462.27,-423.85,4,4
300394,天孚通信,sample;ai_basket,光模块,中游,2024-07-30,2026-07-03,250.1,tian_ma_only,take_profit_or_trend_down,4,50.0,48.51,-34.69,1.4,13.02,11.0,420.78,-372.27,4,4
300502,新易盛,ai_basket,光模块,中游,2024-07-30,2026-07-03,526.0,tian_ma_only,take_profit_or_trend_down,4,75.0,9.52,-35.58,0.27,5.16,17.2,975.45,-965.93,4,4
001389,广合科技,ai_basket,PCB,中游,2024-07-30,2026-07-03,203.0,tian_ma_only,take_profit_or_trend_down,4,50.0,3.67,-31.52,0.12,2.89,12.2,401.47,-397.8,4,4
603083,剑桥科技,ai_basket,光模块,中游,2024-07-30,2026-07-03,209.37,tian_ma_only,take_profit_or_trend_down,4,50.0,-0.39,-13.63,-0.03,0.24,9.2,637.87,-638.26,4,4
002405,四维图新,ai_basket,AIPC/端侧AI,下游,2024-07-30,2026-07-03,6.56,tian_ma_only,take_profit_or_trend_down,4,50.0,-1.11,-15.42,-0.07,0.11,20.0,-6.41,5.3,5,4
603186,华正新材,ai_basket,覆铜板CCL,中游,2024-07-30,2026-07-03,199.99,tian_ma_only,take_profit_or_trend_down,4,50.0,-2.91,-16.58,-0.18,-0.32,14.0,893.73,-896.64,4,4
002396,星网锐捷,ai_basket,交换机/网络设备,中游,2024-07-30,2026-07-03,23.4,tian_ma_only,take_profit_or_trend_down,4,50.0,-9.64,-19.44,-0.5,-1.89,12.0,149.98,-159.62,4,4
300870,欧陆通,ai_basket,服务器电源,中游,2024-07-30,2026-07-03,295.9,tian_ma_only,take_profit_or_trend_down,4,25.0,-23.3,-31.52,-0.74,-5.89,11.0,1064.1,-1087.4,4,4
002463,沪电股份,ai_basket,PCB,中游,2024-07-30,2026-07-03,135.35,tian_ma_only,take_profit_or_trend_down,4,0.0,-18.17,-21.37,-0.85,-4.64,9.8,327.12,-345.29,4,4
002475,立讯精密,ai_basket,连接器,中游,2024-07-30,2026-07-03,64.44,tian_ma_only,take_profit_or_trend_down,4,0.0,-19.65,-22.92,-0.86,-5.02,10.5,73.43,-93.08,4,4
300054,鼎龙股份,ai_basket,半导体材料,上游,2024-07-30,2026-07-03,89.88,tian_ma_only,take_profit_or_trend_down,4,25.0,-17.3,-19.03,-0.91,-4.34,8.5,334.99,-352.29,4,4
600183,生益科技,ai_basket,覆铜板CCL,中游,2024-07-30,2026-07-03,160.78,tian_ma_only,take_profit_or_trend_down,3,33.33,77.26,-18.04,4.28,32.77,22.3,819.01,-741.75,3,3
000977,浪潮信息,ai_basket,AI服务器,下游,2024-07-30,2026-07-03,66.35,tian_ma_only,take_profit_or_trend_down,3,66.67,41.65,-13.53,3.08,11.39,25.3,84.2,-42.55,4,3
001309,德明利,ai_basket,存储芯片,上游,2024-07-30,2026-07-03,881.91,tian_ma_only,take_profit_or_trend_down,3,66.67,36.43,-14.34,2.54,12.31,17.3,1569.36,-1532.93,3,3
301308,江波龙,ai_basket,存储芯片,上游,2024-07-30,2026-07-03,618.02,tian_ma_only,take_profit_or_trend_down,3,66.67,39.71,-22.87,1.74,13.71,21.0,675.38,-635.67,3,3
002851,麦格米特,ai_basket,服务器电源,中游,2024-07-30,2026-07-03,147.62,tian_ma_only,take_profit_or_trend_down,3,33.33,8.9,-10.48,0.85,3.89,15.7,456.59,-447.69,3,3
300499,高澜股份,ai_basket,液冷/散热,中游,2024-07-30,2026-07-03,36.6,tian_ma_only,take_profit_or_trend_down,3,66.67,19.0,-25.83,0.74,6.43,21.0,226.99,-207.99,3,3
301165,锐捷网络,ai_basket,交换机/网络设备,中游,2024-07-30,2026-07-03,94.89,tian_ma_only,take_profit_or_trend_down,2,100.0,76.43,-12.87,5.94,9.36,17.0,563.03,-486.6,3,2
300476,胜宏科技,ai_basket,PCB,中游,2024-07-30,2026-07-03,308.07,tian_ma_only,take_profit_or_trend_down,2,50.0,57.83,-15.63,3.7,29.48,16.5,744.99,-687.16,2,2
301018,申菱环境,ai_basket,液冷/散热,中游,2024-07-30,2026-07-03,117.78,tian_ma_only,take_profit_or_trend_down,2,50.0,0.13,-17.21,0.01,0.67,18.0,760.77,-760.64,2,2
002636,金安国纪,ai_basket,覆铜板CCL,中游,2024-07-30,2026-07-03,106.95,tian_ma_only,take_profit_or_trend_down,1,100.0,9.37,-3.71,2.52,9.66,27.0,1688.2,-1678.83,1,1
600577,精达股份,ai_basket,高速铜缆/铜连接,中游,2024-07-30,2026-07-03,9.69,tian_ma_only,take_profit_or_trend_down,1,0.0,-3.13,-8.35,-0.37,-2.88,14.0,128.82,-131.95,1,1
