strategy,window,stocks,stocks_with_trades,trades,weighted_win_rate,positive_stocks,beat_bh_stocks,median_return,median_drawdown,median_calmar,median_vs_bh
control_tianma_fixed20,2024-05-28_2025-06-23,1,1,3,100.0,1,1,76.33,-6.47,11.79,17.4
candidate_low25_hold20_confirm4,2024-05-28_2025-06-23,1,1,3,66.67,1,1,63.55,-12.57,5.06,4.62
candidate_tianma_hold20_confirm4,2024-05-28_2025-06-23,1,1,3,66.67,1,1,63.55,-12.57,5.06,4.62
candidate_low25_hold20_confirm4,2025-05-26_2026-06-18,1,1,2,100.0,1,0,76.18,-21.85,3.49,-22.48
candidate_low25_hold20_confirm4,2025-06-10_2026-07-03,1,1,2,100.0,1,0,76.18,-21.85,3.49,-12.65
candidate_tianma_hold20_confirm4,2025-05-26_2026-06-18,1,1,2,100.0,1,0,76.18,-21.85,3.49,-22.48
candidate_tianma_hold20_confirm4,2025-06-10_2026-07-03,1,1,2,100.0,1,0,76.18,-21.85,3.49,-12.65
control_tianma_fixed20,2024-08-21_2025-09-15,1,1,2,100.0,1,0,19.92,-5.91,3.37,-78.67
control_tianma_fixed20,2024-05-28_2025-06-09,1,1,3,33.33,1,1,25.67,-8.48,3.03,25.05
control_tianma_fixed20,2025-05-26_2026-06-18,1,1,2,50.0,1,0,17.63,-5.9,2.99,-81.03
control_tianma_fixed20,2025-06-10_2026-07-03,1,1,2,50.0,1,0,17.63,-5.9,2.99,-71.2
control_tianma_fixed20,2024-06-12_2025-06-23,58,57,138,67.39,52,26,27.11,-16.36,1.79,-8.45
candidate_low25_hold20_confirm4,2025-03-03_2026-03-20,1,1,2,100.0,1,0,20.86,-12.53,1.66,-38.67
candidate_tianma_hold20_confirm4,2025-03-03_2026-03-20,1,1,2,100.0,1,0,20.86,-12.53,1.66,-38.67
candidate_low25_hold20_confirm4,2024-06-12_2025-06-23,58,58,159,62.89,52,27,29.98,-22.25,1.64,-2.72
candidate_tianma_hold20_confirm4,2024-05-28_2025-06-09,1,1,3,33.33,1,1,35.25,-24.64,1.43,34.63
candidate_tianma_hold20_confirm4,2024-06-12_2025-06-23,58,56,124,69.36,50,32,29.23,-19.26,1.43,1.66
candidate_tianma_hold20_confirm4,2025-02-25_2026-03-20,2,2,3,66.67,1,1,13.46,-15.82,1.12,-16.12
candidate_low25_hold20_confirm4,2025-06-10_2026-06-18,59,55,108,63.89,40,17,14.11,-16.86,1.03,-64.28
candidate_low25_hold20_confirm4,2025-06-24_2026-07-03,59,56,115,65.22,40,17,14.98,-17.26,1.01,-48.52
candidate_low25_hold20_confirm4,2025-02-25_2026-03-20,2,2,3,66.67,1,1,11.21,-15.82,1.0,-18.38
candidate_low25_hold20_confirm4,2025-06-16_2026-07-03,1,1,1,100.0,1,0,11.98,-12.53,0.96,-66.58
candidate_tianma_hold20_confirm4,2025-06-16_2026-07-03,1,1,1,100.0,1,0,11.98,-12.53,0.96,-66.58
candidate_low25_hold20_confirm4,2025-05-30_2026-06-18,1,1,1,100.0,1,0,11.64,-12.53,0.93,-50.93
candidate_tianma_hold20_confirm4,2025-05-30_2026-06-18,1,1,1,100.0,1,0,11.64,-12.53,0.93,-50.93
candidate_tianma_hold20_confirm4,2025-06-24_2026-07-03,59,54,89,66.29,41,18,11.48,-16.19,0.78,-50.29
control_tianma_fixed20,2024-08-21_2025-09-01,1,1,3,33.33,1,0,6.78,-9.48,0.71,-12.82
candidate_low25_hold20_confirm4,2024-05-28_2025-06-09,1,1,3,33.33,1,1,20.97,-32.6,0.64,20.35
candidate_low25_hold20_confirm4,2024-08-21_2025-09-15,1,1,2,50.0,1,0,7.65,-12.55,0.61,-90.94
candidate_tianma_hold20_confirm4,2024-08-21_2025-09-15,1,1,2,50.0,1,0,7.65,-12.55,0.61,-90.94
candidate_tianma_hold20_confirm4,2025-06-10_2026-06-18,59,53,87,66.67,43,18,11.18,-15.18,0.59,-64.28
candidate_low25_hold20_confirm4,2024-09-04_2025-09-15,58,57,117,66.67,43,20,7.28,-14.62,0.59,-34.84
control_tianma_fixed20,2024-09-04_2025-09-15,58,54,94,68.09,37,15,5.54,-10.63,0.58,-36.54
candidate_low25_hold20_confirm4,2025-03-11_2026-03-20,58,51,93,68.82,37,13,7.43,-14.69,0.54,-51.97
candidate_tianma_hold20_confirm4,2024-09-04_2025-09-15,58,54,93,67.74,38,17,5.38,-13.3,0.54,-34.84
control_tianma_fixed20,2025-05-30_2026-06-18,1,1,1,100.0,1,0,5.39,-12.53,0.43,-57.18
control_tianma_fixed20,2025-06-16_2026-07-03,1,1,1,100.0,1,0,5.72,-14.57,0.39,-72.84
candidate_tianma_hold20_confirm4,2025-03-11_2026-03-20,58,46,68,76.47,38,11,7.16,-12.14,0.36,-57.08
control_tianma_fixed20,2024-12-06_2025-12-16,58,52,80,61.25,37,15,3.72,-10.08,0.34,-19.91
control_tianma_fixed20,2025-03-03_2026-03-20,1,1,2,100.0,1,0,4.18,-12.53,0.33,-55.35
candidate_tianma_hold20_confirm4,2024-12-06_2025-12-16,58,51,70,67.14,33,18,2.26,-12.59,0.24,-18.04
control_tianma_fixed20,2025-06-24_2026-07-03,59,54,87,58.62,34,15,4.17,-12.88,0.23,-71.65
candidate_low25_hold20_confirm4,2024-12-06_2025-12-16,58,55,92,64.13,32,18,1.46,-15.9,0.15,-20.07
control_tianma_fixed20,2025-06-10_2026-06-18,59,54,85,60.0,34,14,2.57,-9.59,0.14,-100.92
candidate_low25_hold20_confirm4,2024-11-28_2025-12-08,1,1,1,0.0,1,1,0.35,-22.97,0.02,7.28
candidate_tianma_hold20_confirm4,2024-11-28_2025-12-08,1,1,1,0.0,1,1,0.35,-22.97,0.02,7.28
control_tianma_fixed20,2025-03-11_2026-03-20,58,47,67,61.19,26,8,0.0,-10.28,0.0,-68.72
control_tianma_fixed20,2024-11-22_2025-12-16,2,2,4,75.0,1,1,-1.33,-16.93,-0.02,-17.49
control_tianma_fixed20,2025-02-25_2026-03-20,2,2,3,33.33,1,0,-2.18,-15.82,-0.03,-31.77
candidate_tianma_hold20_confirm4,2024-08-21_2025-09-01,1,1,3,33.33,0,0,-1.1,-15.73,-0.07,-20.7
candidate_low25_hold20_confirm4,2024-08-27_2025-09-05,1,1,1,0.0,0,0,-3.47,-22.97,-0.15,-63.56
candidate_tianma_hold20_confirm4,2024-08-27_2025-09-05,1,1,1,0.0,0,0,-3.47,-22.97,-0.15,-63.56
candidate_tianma_hold20_confirm4,2024-11-22_2025-12-16,2,2,4,50.0,0,1,-6.34,-19.91,-0.28,-22.5
candidate_low25_hold20_confirm4,2024-11-22_2025-12-16,2,2,5,40.0,0,0,-8.09,-20.97,-0.38,-24.25
control_tianma_fixed20,2024-11-28_2025-12-08,1,1,3,66.67,0,0,-8.22,-19.13,-0.43,-1.29
control_tianma_fixed20,2024-08-27_2025-09-05,1,1,2,50.0,0,0,-8.73,-19.13,-0.46,-68.82
candidate_low25_hold20_confirm4,2024-08-21_2025-09-01,1,1,3,33.33,0,0,-11.54,-21.09,-0.55,-31.14
candidate_low25_hold20_confirm4,2024-06-03_2025-06-13,1,1,1,0.0,0,0,-18.49,-26.23,-0.7,-115.76
candidate_tianma_hold20_confirm4,2024-06-03_2025-06-13,1,1,1,0.0,0,0,-18.49,-26.23,-0.7,-115.76
control_tianma_fixed20,2024-06-03_2025-06-13,1,1,2,50.0,0,0,-13.36,-18.6,-0.72,-110.63
